strategy_id,strategy_name,sector_confirmation,pullback_depth_band,extension_band,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_5d,win_rate_10d,win_rate_15d
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unavailable,0-3%,0-2%,162,-0.002320175678106996,-0.0008820635282405707,-0.006066956430412069,-0.0015454449419588306,-0.003905526558586307,-0.011769997674609014,0.5,0.5,0.42592592592592593
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unavailable,0-3%,2-4%,134,-0.002059818036988499,-0.001647421813003911,-0.004798032552091421,-0.0016866829806878965,-0.004165274358330115,-0.008133649993211466,0.5149253731343284,0.4701492537313433,0.47761194029850745
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unavailable,0-3%,4-6%,87,0.0037080098853132025,0.0020620375297056184,0.0037037220015715883,-0.00217571392500246,-0.006763926376325209,-0.006281285483154579,0.5172413793103449,0.47126436781609193,0.4942528735632184
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unavailable,10-15%,-2% to 0%,2,0.07722611011756736,0.07360378524464861,0.13833913670383968,0.05925420173166146,0.04777955951891777,0.0888422778852671,0.5,1.0,1.0
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unavailable,10-15%,0-2%,1,0.07386260888420648,0.03844059802389621,0.1652544156990674,0.07500277510135822,0.019083674657200067,0.134293405424891,1.0,1.0,1.0
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unavailable,10-15%,4-6%,2,-0.03953384308322755,0.09761953960996561,0.05438265253694974,-0.02397352267004904,0.07517881363428575,0.04503196467768211,0.0,1.0,1.0
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unavailable,10-15%,<-2%,2,0.04619283754720949,-0.01301676195074064,-0.0212213245303855,0.031608719358727666,-0.024158064555502234,-0.02551602284442306,1.0,0.5,0.5
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unavailable,3-6%,-2% to 0%,66,-0.0053100979658061605,-0.007602237510903351,-0.00235351058845376,-0.013092421053582711,-0.017250448301401603,-0.015363287923941009,0.4393939393939394,0.4696969696969697,0.45454545454545453
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unavailable,3-6%,0-2%,104,-0.0030022350098332577,0.004571146148393536,0.006994322047242144,-0.005143093759010232,-0.002718122362300445,-0.006782166875264982,0.5673076923076923,0.5769230769230769,0.5480769230769231
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unavailable,3-6%,2-4%,85,0.009938043107356652,0.011173321059142155,0.02073215516537309,0.005858715075024776,0.004218192497313713,0.006169757593734808,0.5529411764705883,0.5647058823529412,0.6235294117647059
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unavailable,3-6%,4-6%,50,0.012928559415567325,0.013087634165822622,0.025756532299067127,0.004184568144090954,0.00412130672157115,0.013948501599663383,0.62,0.58,0.64
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unavailable,3-6%,<-2%,2,0.023018601413889228,0.05560679212198727,0.06194526218371499,0.03440146077737294,0.05546798279114784,0.05313051665066071,1.0,1.0,1.0
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unavailable,6-10%,-2% to 0%,14,0.0040209086129891726,0.015767795496694024,0.026585540803370705,0.0076710873803999945,0.02199637033820606,0.03426030519850445,0.6428571428571429,0.7142857142857143,0.7142857142857143
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unavailable,6-10%,0-2%,12,0.013353726067814395,-0.000280866112799492,0.011407568809569455,0.020875066866405667,0.015797931680405636,0.034334276071351165,0.5,0.5,0.6666666666666666
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unavailable,6-10%,2-4%,4,0.03791159091924132,0.04234430488659291,0.06866854275994216,0.020153956156816755,0.018245227288528204,0.04944582996694835,0.5,0.5,0.5
